episode_steps,scores
485,13.806014005877357
486,-8.866896272274124
487,-10.857734920304624
488,8.871471790402076
489,2.8536519672050713
490,3.071380960566388
491,-22.0447515337227
492,20.185546667501146
493,12.562036227189399
494,-3.76056002046848
495,51.49614423522942
496,5.7718339545944835
497,13.39332471508428
498,36.957188178554155
499,29.40236070968759
500,-1.5744911422284653
501,33.07294686611565
502,42.857003461473184
503,-25.199922786896504
504,-17.544413526716944
505,4.653169971673871
506,33.540015926262825
507,72.05913454110309
508,31.346870413986945
509,30.73833838647344
510,3.6067008724038296
511,-71.58906835438013
512,58.970748816081375
513,27.618536241956495
514,-7.244896700833386
515,57.59907311461241
516,52.20169773665896
517,6.195181030875865
518,3.380836101728754
519,45.049397523358934
520,35.96256159357299
521,-4.955422567348309
522,-2.2574019696000556
523,-60.81911000888886
524,-9.69461140184932
525,-2.8922398250665893
526,-2.996896341575307
527,-5.6357971021326625
528,-47.538322670640156
529,-5.671358096472141
530,-61.08439327535274
531,-379.66580370565873
532,-544.494187381462
533,-47.27824772804909
534,-3.642547705924451
535,-59.804230574257005
536,-45.54586359039566
537,-124.72323547829316
538,-164.25776647501732
539,-113.7124868037234
540,-104.56486253737437
541,-91.39718060073419
542,4.314669945552842
543,-11.8829649471862
544,-14.96720583104639
545,-18.477111800276276
546,-52.390321595225515
547,2.728757914862654
548,47.47750148078711
549,5.610957638109391
550,12.832288400566611
551,45.86131396939869
552,34.97513560264855
553,53.07805761786888
554,42.89917032753233
555,25.026069838031002
556,-2.1003917841589996
557,17.44343952780021
558,54.313568958687306
559,49.71412360657911
560,9.981176503674298
561,19.194825402172324
562,47.15786378649233
563,45.05314109132144
564,44.66038691982226
565,44.551524133539544
566,12.390090860341996
567,11.13202483818221
568,32.06446131632833
569,49.50341111335712
570,-0.4291619906392141
571,8.163473203131524
572,27.259905442314604
573,18.01771807175252
574,11.53383345798734
575,-2.5067191268722104
576,28.41982872570324
577,12.87784096107664
578,47.07445479678197
579,61.11056622987831
580,21.30863805543601
581,10.27243894041599
582,24.13747487802369
583,-4.440618679347572
584,26.102721085841637
585,3.838766013698029
586,4.231063816318719
587,-25.60124678770407
588,-15.637876563835423
589,-52.76988302460135
590,13.695272682158631
591,7.581241952471568
592,26.733149758449375
593,-32.92072209899621
594,-20.936532889533932
595,-23.67836373479361
596,-37.009539683296275
597,27.472808178583715
598,-21.41891295376062
599,40.12538095660375
600,8.435971688463553
601,21.23147321207565
602,-0.49530498772881537
603,-0.21712457340693958
604,56.06171529355736
605,6.272793340466071
606,28.06773292366682
607,7.111132781021092
608,41.26630475718916
609,50.070844836968604
610,53.13234557312529
611,2.6379316379065214
612,10.706174986427555
613,26.245966737662343
614,49.30083337374411
615,20.992736420576204
616,49.95565592582289
617,19.76029904258921
618,31.720729285274267
619,19.86289137591207
620,-5.500016626941014
621,2.2577168033946617
622,32.7272857284399
623,25.966147075294327
624,32.11818945440064
625,-30.12640622800983
626,1.4632228882861087
627,15.872356871003007
628,17.06596290612706
629,-6.307745090585535
630,13.563539826962785
631,3.604009399441453
632,1.3169762132549343
633,1.7374562488447525
634,18.13944008733974
635,-14.576462939772483
636,29.565384334843554
637,34.69190790497299
638,45.78589155256311
639,-30.761781984191856
640,-20.0703685185009
641,-29.3746997133219
642,-40.670761652229174
643,-24.111848528441783
644,12.663472830944665
645,-67.9925046012204
646,-63.292512639181595
647,-29.619440806354177
648,21.318103860605788
649,-36.111252229482695
650,-39.45513359612249
651,-28.775535990423915
652,-26.60804909055734
653,-24.821251538735137
654,28.833438103093386
655,-7.014847202050292
656,41.2945996166436
657,53.284503062736114
658,-5.56752700254993
659,1.0917464866993807
660,27.009451175934753
661,-2.283786563082452
662,-31.524909124973494
663,-24.856368913537136
664,-16.926404948172948
665,-14.662937311650172
666,-19.28564125948352
667,-3.8791875595434737
668,42.13946853552844
669,40.99345891720603
670,65.58700272768685
671,-2.792826283008022
672,-16.768729376944258
673,34.37895563289929
674,-13.729082341655321
675,50.14621514120333
676,25.934965536857135
677,-3.94303178324152
678,13.89211303484118
679,44.237058395393014
680,14.174482097727827
681,26.463820057483105
682,17.418707275701212
683,20.564290620204837
684,18.352197015860472
685,6.369056240738355
686,-16.643386395460986
687,1.228426725207251
688,-16.179083929085625
689,46.17351755465829
690,-26.682564654609468
691,3.2875542689804984
692,-38.61249321832252
693,-34.522267840084915
694,23.744663683329676
695,-29.080686431960213
696,23.170057578263016
697,-6.531269275969182
698,-19.255107034842617
699,4.022919226674593
700,4.398855383037877
701,-2.485886033985534
702,11.532493564556741
703,-10.938213983195967
704,8.12150633450591
705,-2.826046007890361
706,0.15983937311800722
707,12.169518541594732
708,16.13909224324624
709,19.493029531565938
710,13.876620498056855
711,-4.760032169229244
712,-6.349687540420552
713,26.973503513162843
714,5.821714500235002
715,-3.2474435755342164
716,13.091437403927674
717,48.8275226364953
718,-21.749457236696433
719,24.51867337433047
720,36.199230511242405
721,12.345235495238242
722,33.04273433572004
723,65.20481377903036
724,3.2069352374259967
725,21.3747657563368
726,17.667972746633225
727,0.9215553831568792
728,14.63340946505384
729,2.9538357642361053
730,23.290124714623357
731,4.506276462885113
732,1.1550346886819673
733,-4.807504174126872
734,-3.5954452609987313
735,54.7815247677385
736,16.18650198180191
737,-3.709628232083179
738,21.88278687178933
739,33.00894203835864
740,14.025919499231144
741,9.763623112290425
742,-4.498857512184972
743,4.000562274935075
744,38.57666137008856
745,-16.66656781836777
746,40.86456378707589
747,13.058462221150203
748,32.65399178108445
749,38.24959119669209
750,-0.2548106819742055
751,13.199343215580576
752,10.689349963767523
753,34.856715880488146
754,-3.0106771642519723
755,37.88995765723583
756,2.4839456573062444
757,-12.62200932288963
758,4.621822174878811
759,44.70146940085575
760,-13.910620034239788
761,30.00424630946719
762,-28.67716303315403
763,-2.403096470289369
764,1.916216976479156
765,26.50037173346204
766,6.831538281265395
767,11.6889157601048
