Wall time,Step,Value
1682264421.630202,185375,54.0
1682264423.2433808,185438,63.0
1682264427.045693,185584,73.0
1682264432.277287,185788,62.0
1682264436.1869104,185937,78.0
1682264440.3135939,186096,85.0
1682264441.8816478,186156,60.0
1682264455.2939758,186670,86.0
1682264461.4966052,186904,73.0
1682264471.3520563,187284,83.0
1682264506.0528424,188628,71.0
1682264523.2924268,189285,66.0
1682264534.4461377,189713,78.0
1682264544.151596,190087,53.0
1682264551.724711,190377,64.0
1682264553.2504256,190432,55.0
1682264574.708836,191258,78.0
1682264576.9604986,191341,83.0
1682264603.1994808,192356,68.0
1682264621.7055876,193069,84.0
1682264639.0666585,193733,69.0
1682264670.7998164,194953,70.0
1682264704.3679352,196246,73.0
1682264706.183814,196315,69.0
1682264708.9910684,196427,55.0
1682264729.1251988,197198,90.0
1682264737.2318497,197503,79.0
1682264755.0160499,198189,77.0
1682264770.2278655,198765,89.0
1682264772.0947814,198838,73.0
1682264793.0207376,199632,69.0
1682264808.7835436,200240,80.0
1682264820.0444741,200668,76.0
1682264821.829059,200733,65.0
1682264825.7325072,200881,70.0
1682264829.1603684,201012,71.0
1682264838.3170693,201366,87.0
1682264885.546364,203173,78.0
1682264887.136445,203232,59.0
1682264905.2268777,203925,69.0
1682264908.832253,204067,83.0
1682264916.512582,204359,77.0
1682264918.5705185,204439,80.0
1682264944.583785,205425,66.0
1682264955.1244378,205830,62.0
1682264964.9766896,206205,63.0
1682264968.290495,206339,65.0
1682264971.699739,206468,73.0
1682264975.3694098,206603,64.0
1682264999.8761072,207537,63.0
1682265007.0038028,207807,76.0
1682265010.097847,207925,62.0
1682265015.6276884,208139,90.0
1682265035.2200077,208881,69.0
1682265053.074443,209564,55.0
1682265056.7668679,209701,67.0
1682265077.8322709,210503,75.0
1682265079.3587942,210561,58.0
1682265081.2676618,210634,73.0
1682265097.0152822,211234,74.0
1682265108.056726,211651,71.0
1682265140.245199,212873,76.0
1682265150.5565236,213262,54.0
1682265152.740754,213344,82.0
1682265167.32656,213895,69.0
1682265177.9204187,214300,73.0
1682265188.522183,214704,71.0
1682265198.0267377,215069,79.0
1682265240.253953,216665,69.0
1682265244.4025517,216822,89.0
1682265254.9782097,217222,89.0
1682265264.0276792,217568,67.0
1682265287.8861024,218466,64.0
1682265300.4063704,218934,65.0
1682265328.8138342,220003,66.0
1682265349.6636114,220799,63.0
1682265355.5467384,221019,66.0
1682265366.187258,221417,70.0
1682265380.7489276,221962,62.0
1682265382.3727891,222028,66.0
1682265386.1421645,222170,69.0
1682265403.5312982,222814,68.0
1682265447.0199842,224457,67.0
1682265448.3711562,224509,52.0
1682265450.2562861,224579,70.0
1682265463.2348416,225066,71.0
1682265484.0903502,225858,62.0
1682265487.8248987,225997,73.0
1682265510.755712,226855,75.0
1682265512.6626506,226927,72.0
1682265518.5262845,227145,65.0
1682265522.2336996,227281,66.0
1682265523.8421824,227345,64.0
1682265579.8372993,229450,69.0
1682265600.8650076,230236,82.0
1682265603.0559528,230320,84.0
1682265617.0878448,230839,60.0
1682265619.4595556,230924,85.0
1682265630.4471476,231339,73.0
1682265636.0325975,231542,73.0
1682265647.0521955,231957,63.0
1682265655.568384,232271,77.0
1682265686.0757713,233414,61.0
1682265689.5237134,233545,54.0
1682265691.6752036,233628,83.0
1682265693.272078,233684,56.0
1682265713.6990042,234443,55.0
1682265747.43408,235704,65.0
1682265778.325665,236859,67.0
1682265791.0552824,237330,71.0
1682265792.8401566,237391,61.0
1682265798.0023525,237588,70.0
1682265828.2923298,238712,76.0
1682265836.8678048,239034,59.0
1682265847.2598126,239421,69.0
1682265850.986373,239567,66.0
1682265854.4706905,239696,69.0
1682265857.7462418,239811,63.0
1682265860.501322,239916,50.0
1682265867.2464075,240169,75.0
1682265868.8101933,240223,54.0
1682265890.8192549,241045,66.0
1682265895.7205129,241228,75.0
1682265909.9288132,241755,65.0
1682265915.479875,241959,70.0
1682265917.104616,242020,61.0
1682265931.5902333,242555,64.0
1682265959.8339498,243609,68.0
1682265966.538805,243854,70.0
1682265970.0784416,243988,66.0
1682265998.109706,245027,61.0
1682266022.8640902,245945,59.0
1682266065.7871063,247537,72.0
1682266092.417877,248525,61.0
1682266094.5613942,248601,76.0
1682266104.8592741,248981,62.0
1682266106.9962013,249061,80.0
1682266114.8401108,249353,56.0
1682266123.9895303,249693,61.0
1682266131.5413997,249972,63.0
1682266135.3259144,250112,71.0
1682266164.2640607,251187,53.0
1682266185.0877564,251952,72.0
1682266199.414965,252486,73.0
1682266201.0774066,252548,62.0
1682266213.0442536,252990,70.0
1682266218.4210277,253190,76.0
1682266264.2533426,254887,103.0
1682266269.6217651,255081,64.0
1682266283.0926032,255582,79.0
